"","datetime","city","country","shape"
"49045",NA,"","",""
"49084",2020-05-24,"","",""
"49085",NA,"","",""
"49554",2019-05-27,"","",""
"49555",NA,"","",""
"49572",2020-05-27,"","",""
"49573",NA,"","",""
"50786",2020-05-05,"","",""
"50787",NA,"","",""
"51077",2020-05-06,"","",""
"51078",NA,"","",""
"51393",2020-05-08,"","",""
"51394",NA,"","",""
"51768",2020-06-10,"","",""
"51769",NA,"","",""
"52113",2019-06-01,"","",""
"52114",NA,"","",""
"52144",2019-06-01,"","",""
"52145",NA,"","",""
"52181",2019-06-01,"","",""
"52182",NA,"","",""
"52382",2019-06-01,"","",""
"52383",NA,"","",""
"52492",2019-06-01,"","",""
"52493",NA,"","",""
"52908",2019-06-01,"","",""
"52909",NA,"","",""
"53190",2020-06-01,"","",""
"53191",NA,"","",""
"53262",2020-06-01,"","",""
"53263",NA,"","",""
"53642",2019-06-13,"","",""
"53643",NA,"","",""
"54221",2019-06-15,"","",""
"54222",NA,"","",""
"55533",2019-06-18,"","",""
"55534",NA,"","",""
"57607",2020-06-25,"","",""
"57608",NA,"","",""
"58778",2019-06-30,"","",""
"58779",NA,"","",""
"58941",2019-06-30,"","",""
"58942",NA,"","",""
"59253",2020-06-30,"","",""
"59254",NA,"","",""
"59862",2020-06-05,"","",""
"59863",NA,"","",""
"60522",2020-06-08,"","",""
"60523",NA,"","",""
"60615",2020-06-08,"","",""
"60616",NA,"","",""
"60680",2020-06-09,"","",""
"60681",NA,"","",""
"61052",2020-07-10,"","",""
"61053",NA,"","",""
"61172",2019-07-11,"","",""
"61173",NA,"","",""
"61781",2020-07-01,"","",""
"61782",NA,"","",""
"61874",2020-07-01,"","",""
"61875",NA,"","",""
"62172",2020-07-12,"","",""
"62173",NA,"","",""
"62363",2020-07-13,"","",""
"62364",NA,"","",""
"63802",2020-07-15,"","",""
"63803",NA,"","",""
"64858",2019-07-20,"","",""
"64859",NA,"","",""
"66028",2020-07-23,"","",""
"66029",NA,"","",""
"66241",2020-07-24,"","",""
"66242",NA,"","",""
"66244",2020-07-24,"","",""
"66245",NA,"","",""
"66626",2020-07-25,"","",""
"66627",NA,"","",""
"66700",2020-07-26,"","",""
