"","datetime","city","country","shape"
"47860",2020-05-18,"lawrenceville","us","disk"
"58803",2019-06-30,"lawrenceville","us","disk"
"73950",2020-08-15,"lawton","us","disk"
"40176",2020-04-01,"league city","us","disk"
"87360",2020-09-30,"league city","","disk"
"9202",2020-01-11,"leamington (canada)","ca","disk"
"5220",2020-10-26,"lebanon","us","disk"
"86631",2020-09-27,"lebanon","us","disk"
"592",2019-10-01,"lecompte","us","disk"
"52545",2019-06-01,"lee park","us","disk"
"73533",2019-08-15,"lee vining","us","disk"
"73205",2019-08-14,"lee vining (north of)","us","disk"
"47435",2020-05-15,"lee&#39s summit","","disk"
"23138",2020-12-27,"leeds (uk/england)","gb","disk"
"34094",2020-03-01,"leeds (uk/england)","gb","disk"
"64621",2019-07-19,"leeds (uk/england)","gb","disk"
"76573",2019-08-23,"leeds&#44 west yorks (uk/england)","","disk"
"227",2020-10-10,"leesburg","us","disk"
"41227",2020-04-15,"leesport","us","disk"
"25980",2020-01-27,"lehi","us","disk"
"37780",2020-03-28,"lehigh acres","us","disk"
"44691",2020-04-04,"lehigh acres","us","disk"
"14132",2020-11-24,"lehighton","us","disk"
"5656",2020-10-28,"leicester","us","disk"
"18871",2020-12-10,"leicester (uk/england)","gb","disk"
"45389",2020-04-08,"leiters ford","us","disk"
"1858",2020-10-14,"leland","us","disk"
"64087",2019-07-17,"lemon cove","","disk"
"73824",2019-08-15,"lenexa (greater kansas city metro area)","us","disk"
"41400",2020-04-16,"lenior city","","disk"
"58730",2019-06-30,"lenoir","us","disk"
"20236",2019-12-15,"lenox","us","disk"
"64134",2020-07-17,"leola","us","disk"
"34607",2020-03-13,"leon","us","disk"
"81501",2019-09-01,"leonardo","us","disk"
"22273",2020-12-23,"lesslie","us","disk"
"35416",2020-03-16,"levittown","us","disk"
"50623",2020-05-04,"levittown","us","disk"
"54374",2019-06-15,"levittown","us","disk"
"64826",2019-07-20,"levittown","us","disk"
"86454",2019-09-27,"lewisburg","us","disk"
"59598",2020-06-04,"lewniowa (poland)","","disk"
"4827",2020-10-24,"lexington","us","disk"
"17908",2020-11-08,"lexington","us","disk"
"32715",2020-02-04,"lexington","us","disk"
"32776",2020-02-05,"lexington","us","disk"
"43409",2020-04-25,"lexington","us","disk"
"44896",2020-04-05,"lexington","us","disk"
"72029",2019-08-01,"lexington","us","disk"
"73036",2020-08-13,"lexington","us","disk"
"84758",2020-09-21,"lexington","us","disk"
"78904",2020-08-03,"libby","us","disk"
"44618",2019-04-04,"liberty","us","disk"
"58444",2020-06-29,"liberty","us","disk"
"56350",2019-06-21,"libertyville","us","disk"
"81380",2019-09-01,"lighthouse point","us","disk"
"2745",2019-10-17,"lihue","us","disk"
"61195",2019-07-11,"likasi (congo)","","disk"
"82417",2019-09-14,"lilburn","us","disk"
"40078",2019-04-01,"limerick","us","disk"
"3969",2019-10-02,"limestone","us","disk"
"21908",2020-01-22,"lincoln","us","disk"
"37036",2019-03-24,"lincoln","us","disk"
"64403",2020-07-18,"lincoln","us","disk"
"88186",2020-09-06,"lincoln","","disk"
"48478",2020-05-21,"lincoln (5 miles south of)","","disk"
"74839",2019-08-18,"lincoln (near)","us","disk"
"63015",2019-07-15,"lincoln (near) (uk/england)","gb","disk"
"41459",2020-04-16,"lincoln (uk/england)","gb","disk"
"33479",2020-02-09,"lincoln city","us","disk"
"48796",2020-05-22,"lincoln heights","us","disk"
"27310",2020-01-04,"lincolnshire","us","disk"
"59098",2020-06-30,"lincolnshire (uk/england)","gb","disk"
"87882",2020-09-04,"lincolnton","us","disk"
"53001",2019-06-01,"linden","us","disk"
"78397",2020-08-30,"linden","us","disk"
"60482",2020-06-08,"linn creek","us","disk"
"5579",2020-10-28,"lisbon","us","disk"
"77293",2020-08-25,"lisbon","us","disk"
"47069",2019-05-15,"lithia springs","us","disk"
"85359",2020-09-22,"lithia springs","us","disk"
"41365",2020-04-16,"lititz","us","disk"
"32892",2019-02-06,"little rock","us","disk"
"60840",2020-06-09,"little rock","us","disk"
"73934",2020-08-15,"little rock","us","disk"
"39646",2019-04-10,"little rock (east of)","us","disk"
"1669",2020-10-14,"littleton","us","disk"
"13337",2020-01-12,"littleton","us","disk"
"20054",2019-12-14,"littleton","us","disk"
"41477",2020-04-16,"littleton","us","disk"
"43542",2020-04-26,"littleton","us","disk"
"48500",2020-05-21,"littleton","us","disk"
"54795",2020-06-15,"littleton","us","disk"
"55164",2020-06-16,"littleton","us","disk"
"78143",2020-08-29,"littleton","us","disk"
"79202",2020-08-04,"littleton","us","disk"
"10",2019-10-10,"live oak","us","disk"
"16448",2020-01-15,"live oak","us","disk"
"50733",2019-05-05,"livermore","us","disk"
"72261",2020-08-01,"livermore","us","disk"
"44009",2020-04-28,"liverpool (kirkdale) (uk/england)","gb","disk"
"21441",2020-12-20,"liverpool (uk/england)","gb","disk"
"53042",2019-06-01,"liverpool (uk/england)","gb","disk"
"54206",2019-06-15,"livingston","us","disk"
"14007",2020-11-23,"livonia","us","disk"
"53170",2020-06-01,"livonia","us","disk"
"73664",2019-08-15,"llincoln (near)","","disk"
"29716",2020-02-15,"lloydminster (alberta&#44 canada)","","disk"
"42698",2020-04-02,"lloydminster (canada)","ca","disk"
"18869",2020-12-10,"loch ness&#44 inverness (uk/scotland)","","disk"
"3863",2020-10-21,"lodi","us","disk"
"20534",2020-12-16,"loeriesfontein (south africa)","","disk"
"45382",2020-04-08,"logansport","us","disk"
"48695",2019-05-22,"logansport","us","disk"
"81920",2019-09-12,"lolo","us","disk"
"5145",2019-10-26,"lombard","us","disk"
"23928",2020-12-31,"lombard","us","disk"
"9933",2020-11-13,"lometa","us","disk"
"595",2019-10-01,"lomita","us","disk"
"77194",2020-08-25,"lompoc","us","disk"
"40923",2019-04-15,"lompoc/vandenberg afb","","disk"
"70863",2020-07-08,"london","us","disk"
"28302",2020-01-09,"london (canada)","ca","disk"
"6924",2020-10-04,"london (uk/england)","gb","disk"
"12371",2020-01-01,"london (uk/england)","gb","disk"
"26121",2020-01-28,"london (uk/england)","gb","disk"
"33493",2020-02-09,"london (uk/england)","gb","disk"
"41010",2019-04-15,"london (uk/england)","gb","disk"
"46675",2019-05-13,"london (uk/england)","gb","disk"
"64375",2020-07-18,"london (uk/england)","gb","disk"
"67894",2019-07-31,"london (uk/england)","gb","disk"
"74829",2019-08-18,"london (uk/england)","gb","disk"
"81583",2020-09-01,"london (uk/england)","gb","disk"
"12023",2019-01-01,"london (uk/englnd)","gb","disk"
"47325",2020-05-15,"london (uk/london)","gb","disk"
"7100",2019-10-05,"london mills","us","disk"
"3226",2020-10-19,"long beach","us","disk"
"10010",2020-11-13,"long beach","us","disk"
"13056",2020-11-21,"long beach","us","disk"
"54332",2019-06-15,"long beach","us","disk"
"62924",2019-07-15,"long beach","us","disk"
"72546",2019-08-12,"long beach","us","disk"
"41545",2019-04-17,"long green","us","disk"
"53636",2019-06-13,"long valley","us","disk"
"80264",2019-08-08,"long valley","us","disk"
"34419",2020-03-12,"longjetty (australia)","","disk"
"5838",2020-10-29,"longmont","us","disk"
"26686",2020-01-29,"longmont","us","disk"
"37041",2019-03-24,"longmont","us","disk"
"85777",2019-09-24,"longmont","us","disk"
"51488",2019-05-09,"longmont (south of)","us","disk"
"52449",2019-06-01,"longview","us","disk"
"24799",2020-12-04,"longwood/lake mary","","disk"
"29008",2020-02-12,"lorain","us","disk"
"9464",2020-11-01,"loretto","us","disk"
"83009",2020-09-15,"lorton","us","disk"
"25133",2020-12-05,"los alamos","","disk"
"52108",2019-06-01,"los alamos","us","disk"
"35920",2019-03-19,"los alamos/pojoaque","","disk"
"33626",2020-03-10,"los altos","us","disk"
"64476",2020-07-18,"los altos","us","disk"
"30784",2020-02-21,"los altos hills","us","disk"
"68577",2019-07-04,"los angelas","","disk"
"3376",2020-10-19,"los angeles","us","disk"
"9367",2020-11-01,"los angeles","us","disk"
"9700",2020-11-12,"los angeles","us","disk"
"11019",2020-11-16,"los angeles","us","disk"
"13215",2020-01-12,"los angeles","us","disk"
"17207",2020-11-06,"los angeles","us","disk"
"17928",2020-01-18,"los angeles","us","disk"
"21343",2019-12-20,"los angeles","us","disk"
"24653",2019-01-24,"los angeles","us","disk"
"26502",2020-01-29,"los angeles","us","disk"
"28368",2019-02-10,"los angeles","us","disk"
"29548",2019-02-15,"los angeles","us","disk"
"34885",2020-03-14,"los angeles","us","disk"
"34987",2019-03-15,"los angeles","us","disk"
"35580",2019-03-17,"los angeles","us","disk"
"35873",2020-03-18,"los angeles","us","disk"
"37748",2020-03-28,"los angeles","","disk"
"42618",2020-04-02,"los angeles","us","disk"
"42845",2020-04-22,"los angeles","us","disk"
"45241",2020-04-07,"los angeles","us","disk"
"46850",2019-05-14,"los angeles","us","disk"
"48576",2020-05-02,"los angeles","us","disk"
"52209",2019-06-01,"los angeles","us","disk"
"55397",2020-06-17,"los angeles","us","disk"
"59274",2020-06-30,"los angeles","us","disk"
"60034",2020-06-06,"los angeles","us","disk"
"78024",2020-08-28,"los angeles","us","disk"
"78025",2020-08-28,"los angeles","us","disk"
"81356",2019-09-01,"los angeles","us","disk"
"81640",2020-09-01,"los angeles","us","disk"
"83411",2020-09-16,"los angeles","us","disk"
"85415",2020-09-22,"los angeles","us","disk"
"22687",2019-12-25,"los angeles (eagle rock)","us","disk"
"59859",2020-06-05,"los angeles (lincoln heights)","us","disk"
"72935",2020-08-13,"los angeles (north)","us","disk"
"57006",2019-06-23,"los angeles (outside of)","us","disk"
"11020",2020-11-16,"los angeles (playa del rey)","us","disk"
"33648",2020-03-10,"los banos","us","disk"
"43923",2020-04-28,"los chavez","us","disk"
"29582",2019-02-15,"los gatos","us","disk"
"87905",2019-09-05,"los gatos (west of)","us","disk"
"55455",2020-06-17,"los montoyas","us","disk"
"13897",2020-11-23,"lost river","","disk"
"28547",2019-02-11,"louden county","","disk"
"46478",2019-05-12,"loughborough&#44 leic (uk/england)","","disk"
"19374",2020-12-01,"louisa","us","disk"
"448",2020-10-11,"louisville","us","disk"
"1767",2020-10-14,"louisville","us","disk"
"6006",2019-10-30,"louisville","us","disk"
"11016",2020-11-16,"louisville","us","disk"
"16697",2020-01-15,"louisville","us","disk"
"25507",2020-12-06,"louisville","us","disk"
"41603",2020-04-17,"louisville","us","disk"
"46980",2020-05-14,"louisville","us","disk"
"48726",2020-05-22,"louisville","us","disk"
"59628",2020-06-04,"louisville","us","disk"
"63148",2019-07-15,"louisville","us","disk"
"69550",2020-07-04,"louisville","us","disk"
"87972",2020-09-05,"louisville","us","disk"
"77153",2020-08-25,"loveland","us","disk"
"80591",2020-08-09,"loveland","us","disk"
"80595",2020-08-09,"loveland","us","disk"
"81365",2019-09-01,"loveland","us","disk"
"86180",2020-09-25,"lowell","us","disk"
"9040",2019-11-01,"lower lake (near)","us","disk"
"37528",2020-03-27,"lowman","us","disk"
"10390",2019-11-15,"lucedale","us","disk"
"55180",2020-06-16,"lucknow","us","disk"
"87990",2020-09-05,"ludington","us","disk"
"52104",2019-06-01,"ludington (hamlin lake)","us","disk"
"40047",2019-04-01,"lufkin (general area&#44 east texas)","us","disk"
"34414",2020-03-12,"lulworth&#44 dorset (uk/england)","","disk"
"45918",2020-05-10,"lumberton","us","disk"
"68148",2019-07-03,"lumberton","us","disk"
"46230",2019-05-01,"lumpkin","us","disk"
"61700",2019-07-01,"lumpkin","us","disk"
"73588",2019-08-15,"luning (closest town)","us","disk"
"81238",2020-09-11,"lyman","us","disk"
"83005",2020-09-15,"lyndeborough","us","disk"
"84740",2020-09-21,"lynden","us","disk"
"47366",2020-05-15,"lyndhurst","us","disk"
"80809",2020-09-10,"lyndhurst","us","disk"
"51153",2019-05-07,"lynn","us","disk"
"29061",2020-02-12,"lynn haven","us","disk"
"48947",2020-05-23,"lynn haven","us","disk"
"60661",2020-06-09,"lynnville","us","disk"
"60714",2020-06-09,"lyon (france)","","disk"
"78110",2019-08-29,"lyons","us","disk"
"55915",2020-06-19,"macau (china)","","disk"
"632",2019-10-01,"mackay","us","disk"
"62483",2020-07-13,"mackinaw city","us","disk"
"56553",2020-06-21,"macomb","us","disk"
"1762",2020-10-14,"macomb township","","disk"
"16351",2019-01-15,"macon","us","disk"
"21366",2019-12-20,"macon","us","disk"
"61497",2019-07-01,"macon","us","disk"
"71320",2019-08-10,"macwahoc","us","disk"
"85335",2020-09-22,"madera","us","disk"
"14780",2020-11-27,"madison","us","disk"
"19037",2020-12-11,"madison","us","disk"
"36812",2020-03-22,"madison","us","disk"
"46848",2019-05-14,"madison","us","disk"
"49282",2020-05-25,"madison","us","disk"
"54056",2019-06-15,"madison","us","disk"
"65297",2020-07-21,"madison (northwest of)","us","disk"
"78611",2020-08-31,"madisonville","us","disk"
"42303",2020-04-20,"maffra (australia)","au","disk"
"39269",2020-03-08,"magna","us","disk"
"42369",2019-04-21,"magnolia","us","disk"
"32538",2019-02-04,"mahogany hammock (everglades  park)","","disk"
"52425",2019-06-01,"malasiqui pangasinan (philippines)","","disk"
"78678",2020-08-31,"malden bridge","us","disk"
"5271",2020-10-26,"malibu","us","disk"
"46921",2020-05-14,"malibu","us","disk"
"50546",2019-05-04,"malibu","us","disk"
"80172",2020-08-07,"malta (malta)","","disk"
"24678",2020-01-24,"mammoth lakes","us","disk"
"79958",2020-08-07,"mammoth lakes","us","disk"
"35027",2019-03-15,"manassas","us","disk"
"54379",2019-06-15,"mancelona","us","disk"
"54382",2019-06-15,"mancelona","us","disk"
"54384",2019-06-15,"mancelona","us","disk"
"13463",2020-11-02,"manchester","us","disk"
"16550",2020-01-15,"manchester","us","disk"
"54862",2020-06-15,"manchester","us","disk"
"82851",2019-09-15,"manchester","us","disk"
"77010",2020-08-24,"manchester (near)","us","disk"
"7356",2019-10-06,"manchester (st.louis)","us","disk"
"88210",2020-09-06,"manchester (uk/england)","gb","disk"
"13292",2020-11-02,"mandaluyong (philippines)","","disk"
"71655",2019-08-11,"mandan","us","disk"
"24012",2020-12-31,"mandeville","us","disk"
"41726",2020-04-17,"mandurah (australia)","au","disk"
"50687",2020-05-04,"mangalore (india)","","disk"
"49732",2020-05-28,"manhattan beach","us","disk"
"43",2019-10-10,"manilla (rr#1) (canada)","","disk"
"32549",2019-02-04,"manitoba (rural) (canada)","","disk"
"12290",2020-01-01,"manitou beach","us","disk"
"80780",2019-09-10,"mannering park (nsw&#44 australia)","au","disk"
"84646",2019-09-21,"manoa valley (honolulu)","","disk"
"71590",2020-08-10,"manomet","us","disk"
"62087",2020-07-12,"manooth (canada)","","disk"
"13090",2020-11-21,"mansa (india)","","disk"
"59972",2019-06-06,"mansfield","us","disk"
"62973",2019-07-15,"mansfield","us","disk"
"76916",2020-08-24,"mansfield (uk/england)","gb","disk"
"9327",2020-01-11,"manteca","us","disk"
"22474",2020-12-24,"manteca","us","disk"
"54397",2019-06-15,"manteca","us","disk"
"71293",2019-08-10,"manteca","us","disk"
"51645",2019-06-10,"mantova (italy)","","disk"
"65467",2020-07-02,"mantua","us","disk"
"49621",2020-05-27,"maple grove","us","disk"
"63900",2020-07-16,"maple grove","us","disk"
"82740",2019-09-15,"maple valley","us","disk"
"2442",2020-10-15,"maplewood&#44","","disk"
"52215",2019-06-01,"marathon","us","disk"
"88846",2019-09-09,"marathon","us","disk"
"10544",2020-11-15,"marathon city","","disk"
"71986",2019-08-01,"marathon county","us","disk"
"63134",2019-07-15,"march air force base","","disk"
"38889",2020-03-06,"marcy","us","disk"
"87779",2020-09-04,"marhall","","disk"
"1947",2019-10-15,"marianna","us","disk"
"43939",2020-04-28,"maricopa","us","disk"
"26418",2019-01-29,"maricopa (4 miles west of&#44 on hwy 166)","us","disk"
"71127",2020-07-09,"marietta area","","disk"
"47761",2019-05-18,"marin","","disk"
"86200",2020-09-25,"marin/san rafael","","disk"
"13575",2020-01-12,"marion","us","disk"
"42393",2020-04-21,"marion","us","disk"
"60318",2020-06-07,"marion","us","disk"
"64068",2019-07-17,"marion","us","disk"
"83796",2020-09-18,"marion","us","disk"
"84018",2020-09-19,"marion","us","disk"
"86162",2020-09-25,"marion","us","disk"
"55369",2020-06-17,"marion (rural area 10 miles north of)","us","disk"
"43042",2020-04-23,"marked tree","us","disk"
"88934",2020-09-09,"markham (canada)","ca","disk"
"11980",2019-01-01,"markleville (alpine county)","","disk"
"27102",2020-01-03,"marks","us","disk"
"20677",2020-12-16,"marksville","us","disk"
"64101",2020-07-17,"marlboro township","","disk"
"60863",2019-07-10,"marlborough","us","disk"
"50218",2019-05-31,"marlington","","disk"
"87675",2019-09-04,"maroa","us","disk"
"2094",2019-10-15,"marshall","us","disk"
"50217",2019-05-31,"marshall","us","disk"
"50931",2020-05-05,"marshall","us","disk"
"34026",2019-03-01,"marshall creek (rte. 209&#44 west 1 mile of  marshall cr. jxn.)","","disk"
"20769",2020-12-17,"marshall/malta bend","","disk"
"60406",2020-06-07,"marshfield","us","disk"
"62982",2019-07-15,"marshfield","us","disk"
"4156",2020-10-02,"martin","us","disk"
"28719",2019-02-01,"martin","us","disk"
"64596",2019-07-19,"martinez","us","disk"
"64832",2019-07-20,"martinsburg","us","disk"
"1892",2019-10-15,"martinsville","us","disk"
"24963",2020-01-24,"martinsville","us","disk"
"62731",2020-07-14,"martinton","us","disk"
"65780",2020-07-22,"maryhill","us","disk"
"19928",2020-12-13,"marysville","us","disk"
"64376",2020-07-18,"marysville","us","disk"
"70348",2020-07-06,"marysville","us","disk"
"71292",2019-08-10,"marysville","us","disk"
"85998",2019-09-25,"marysville","us","disk"
"68304",2020-07-03,"mason","us","disk"
"78037",2020-08-28,"mason","us","disk"
"63921",2020-07-16,"mason neck","","disk"
"51759",2020-06-10,"maspeth","us","disk"
"60271",2020-06-07,"massena","us","disk"
"10091",2019-11-14,"mattawa","us","disk"
"65717",2020-07-22,"maugenhard (germany)","de","disk"
"77228",2020-08-25,"maui","","disk"
"1874",2019-10-15,"mauriceville","us","disk"
"7357",2019-10-06,"may&#39s landing","","disk"
"39358",2020-03-08,"maybrook","us","disk"
"52676",2019-06-01,"mayfield","us","disk"
"46231",2019-05-01,"maysville","us","disk"
"61412",2019-07-01,"maywood","us","disk"
"64315",2020-07-17,"mcalester","us","disk"
"12198",2020-01-01,"mcallen","us","disk"
"37661",2019-03-28,"mcallen","us","disk"
"43520",2019-04-26,"mcallen","us","disk"
"80369",2020-08-08,"mcallen","us","disk"
"54169",2019-06-15,"mcclellandtown","us","disk"
"50463",2020-05-03,"mchenry","us","disk"
"14884",2020-11-28,"mckeesport","us","disk"
"647",2019-10-01,"mckenzie","us","disk"
"15902",2019-01-14,"mckinlyville/eureka (near arcata driving)","","disk"
"51201",2020-05-07,"mcminnville","us","disk"
"68663",2019-07-04,"mcminnville","us","disk"
"55694",2020-06-18,"meaford (canada)","ca","disk"
"48512",2020-05-21,"mecca (saudi arabia)","","disk"
"76817",2019-08-24,"mechanics town (breyside camp)","","disk"
"54273",2019-06-15,"mechanicsburg","us","disk"
"87792",2020-09-04,"mechanicsburg (harrisburg)","us","disk"
"57852",2020-06-26,"mechanicsville","us","disk"
"54262",2019-06-15,"medaryville","us","disk"
"24793",2020-12-04,"medellin (colombia)","","disk"
"45175",2019-04-07,"medellin (colombia)","","disk"
"35916",2020-03-18,"medford","us","disk"
"36332",2019-03-21,"medford","us","disk"
"36568",2020-03-02,"medford","us","disk"
"44565",2020-04-03,"medford","us","disk"
"58963",2019-06-30,"medford","us","disk"
"54354",2019-06-15,"medina","us","disk"
"4398",2019-10-23,"medway","us","disk"
"82861",2019-09-15,"melbourne","us","disk"
"27788",2019-01-07,"melbourne (100 mi. south of) (vic&#44 australia)","au","disk"
"23724",2020-12-30,"melbourne (australia)","au","disk"
"45229",2020-04-07,"melbourne (australia)","au","disk"
"10991",2020-11-16,"melbourne (vic&#44 australia)","au","disk"
"28228",2020-01-09,"melbourne (vic&#44 australia)","au","disk"
"30561",2019-02-20,"melbourne (vic&#44 australia)","au","disk"
"31012",2020-02-02,"melbourne (vic&#44 australia)","au","disk"
"46743",2020-05-13,"melbourne (vic&#44 australia)","au","disk"
"48904",2020-05-23,"melbourne (vic&#44 australia)","au","disk"
"53472",2019-06-12,"melbourne (vic&#44 australia)","au","disk"
"54814",2020-06-15,"melbourne (vic&#44 australia)","au","disk"
"56366",2019-06-21,"melbourne (vic&#44 australia)","au","disk"
"80326",2020-08-08,"melbourne (vic&#44 australia)","au","disk"
"7609",2020-10-07,"melbourne village","us","disk"
"16315",2019-01-15,"melvin","us","disk"
"29319",2019-02-14,"memphis","us","disk"
"40189",2020-04-01,"memphis","us","disk"
"45778",2019-05-10,"memphis","us","disk"
"46017",2020-05-11,"memphis","us","disk"
"79934",2019-08-07,"memphis","us","disk"
"40920",2019-04-15,"mendham","us","disk"
"58658",2019-06-30,"mendota","us","disk"
"73759",2019-08-15,"menifee","us","disk"
"54409",2019-06-15,"mentor","us","disk"
"62946",2019-07-15,"mentor","us","disk"
"80210",2019-08-08,"mentor","us","disk"
"11771",2020-11-19,"mercer","us","disk"
"34856",2020-03-14,"meredith (australia)","au","disk"
"34857",2020-03-14,"meredith (australia)","au","disk"
"4149",2020-10-02,"meriden","us","disk"
"7618",2020-10-07,"meriden","us","disk"
"80748",2019-09-10,"meriden","us","disk"
"86422",2020-09-26,"meriden","us","disk"
"5095",2020-10-25,"meridian","us","disk"
"49694",2019-05-28,"meridian","us","disk"
"49695",2019-05-28,"meridian","us","disk"
"70889",2020-07-08,"meridian","us","disk"
"70890",2020-07-08,"meridian","us","disk"
"85669",2020-09-23,"meridian","us","disk"
"86201",2020-09-25,"meridian","us","disk"
"51667",2019-06-10,"merkel","us","disk"
"33641",2020-03-10,"merlo (argentina)","","disk"
"952",2020-10-01,"merrick","us","disk"
"9390",2020-11-01,"merrillville","us","disk"
"7365",2020-10-06,"mesa","us","disk"
"19439",2020-12-01,"mesa","us","disk"
"28478",2020-02-10,"mesa","us","disk"
"32765",2020-02-05,"mesa","us","disk"
"35811",2020-03-18,"mesa","us","disk"
"44782",2019-04-05,"mesa","us","disk"
"70552",2020-07-07,"mesa","us","disk"
"80933",2020-09-10,"mesa (nne of)","us","disk"
"55432",2020-06-17,"mesquite","us","disk"
"35009",2019-03-15,"metarie","","disk"
"13458",2020-01-12,"metlakatla","us","disk"
"29126",2020-02-12,"metlakatla","us","disk"
"52121",2019-06-01,"mexicali (mexico)","","disk"
"18731",2019-12-10,"mexico","us","disk"
"63163",2019-07-15,"mexico (in jungle)","","disk"
"58906",2019-06-30,"mexico (pacific ocean)","","disk"
"21358",2019-12-20,"mexico city (mexico)","","disk"
"25524",2020-12-06,"mexico city (mexico)","","disk"
"38716",2020-03-05,"mexico city (mexico)","","disk"
"43009",2020-04-23,"mexico city (mexico)","","disk"
"56505",2020-06-21,"mexico city (mexico)","","disk"
"35579",2019-03-17,"mexico&#44 distrito federal&#44 d.f. (mexico)","","disk"
"1134",2020-10-12,"miami","us","disk"
"10325",2019-11-15,"miami","us","disk"
"21844",2020-01-22,"miami","us","disk"
"27874",2020-01-07,"miami","us","disk"
"30132",2020-02-17,"miami","us","disk"
"31005",2020-02-02,"miami","us","disk"
"32423",2020-02-03,"miami","us","disk"
"32424",2020-02-03,"miami","us","disk"
"35988",2020-03-19,"miami","us","disk"
"35990",2020-03-19,"miami","us","disk"
"45158",2019-04-07,"miami","us","disk"
"46512",2020-05-12,"miami","us","disk"
"47304",2020-05-15,"miami","us","disk"
"49451",2020-05-26,"miami","us","disk"
"55413",2020-06-17,"miami","us","disk"
"56601",2020-06-02,"miami","us","disk"
"58579",2019-06-30,"miami","us","disk"
"65041",2020-07-20,"miami","us","disk"
"84952",2020-09-02,"miami","us","disk"
"42929",2020-04-22,"miami beach","us","disk"
"38527",2019-03-04,"miami shores","us","disk"
"16129",2020-11-04,"miamisburg/centerville","","disk"
"83046",2020-09-15,"michigan (location unspecified)","","disk"
"70002",2020-07-05,"michigan city","us","disk"
"52712",2019-06-01,"michoacan (mexico)","","disk"
"11356",2020-11-17,"middle river","us","disk"
"51930",2019-06-11,"middlebury","us","disk"
"9610",2020-11-12,"middlesbrough (uk/england) ??","","disk"
"37808",2019-03-29,"middletown","us","disk"
"76102",2019-08-02,"middletown","us","disk"
"81389",2019-09-01,"middletown","us","disk"
"82843",2019-09-15,"middleville","us","disk"
"24275",2020-12-31,"midland","us","disk"
"42585",2019-04-02,"midland","us","disk"
"72920",2019-08-13,"midland","us","disk"
"76632",2020-08-23,"midland","us","disk"
"61437",2019-07-01,"midland (canada)","ca","disk"
"9834",2019-11-13,"midlothian","us","disk"
"80958",2020-09-10,"midlothian","us","disk"
"15893",2019-01-14,"midvale","us","disk"
"54500",2019-06-15,"milan","us","disk"
"57615",2020-06-25,"milan","us","disk"
"40053",2019-04-01,"mildura&#44 victoria (australia)","","disk"
"4175",2019-10-22,"milford","us","disk"
"24278",2019-12-03,"milford","us","disk"
"52426",2019-06-01,"milford","us","disk"
"54227",2019-06-15,"milford","us","disk"
"31186",2020-02-22,"mill bay (canada)","","disk"
"33876",2020-03-11,"mill valley","us","disk"
"71959",2019-08-01,"mill valley","us","disk"
"46205",2019-05-01,"milledgeville","us","disk"
"44815",2020-04-05,"miller place","us","disk"
"51664",2019-06-10,"millerton","us","disk"
"56741",2019-06-22,"millerton (coleman station rd.)","us","disk"
"44349",2020-04-30,"millhurst","us","disk"
"1934",2019-10-15,"millington","us","disk"
"6880",2019-10-04,"millington","us","disk"
"67515",2020-07-29,"millmont","us","disk"
"46867",2020-05-14,"millston","us","disk"
"27730",2020-01-06,"millwood","us","disk"
"41551",2019-04-17,"milton","us","disk"
"26458",2020-12-09,"milton (canada)","ca","disk"
"14252",2019-11-25,"milwaukee","us","disk"
"29692",2020-02-15,"milwaukee","us","disk"
"59584",2020-06-04,"milwaukee","us","disk"
"61883",2020-07-01,"milwaukee","us","disk"
"59583",2020-06-04,"milwaukee (south)","us","disk"
"36599",2020-03-02,"milwaukie","us","disk"
"40689",2019-04-14,"milwaukie","us","disk"
"17489",2020-11-07,"mindelein","","disk"
"1958",2019-10-15,"mineral king","us","disk"
"549",2019-10-01,"minneapolis","us","disk"
"2320",2020-10-15,"minneapolis","us","disk"
"11574",2020-11-18,"minneapolis","us","disk"
"41245",2020-04-15,"minneapolis","us","disk"
"48540",2019-05-02,"minneapolis","us","disk"
"62891",2019-07-15,"minneapolis","us","disk"
"63355",2019-07-15,"minneapolis","us","disk"
"64925",2019-07-20,"minneapolis","us","disk"
"71283",2019-08-10,"minneapolis","us","disk"
"26959",2020-01-31,"minneapolis/duluth","","disk"
"20837",2020-12-17,"minnetonka","us","disk"
"59951",2019-06-06,"minot","us","disk"
"20848",2019-12-18,"minsk (belarus)","","disk"
"52241",2019-06-01,"miramar nas","","disk"
"1340",2019-10-13,"mission","us","disk"
"26916",2020-01-31,"mission","us","disk"
"21078",2020-12-19,"mission viejo/lake forest","","disk"
"45238",2020-04-07,"mississauga (canada)","ca","disk"
"52684",2019-06-01,"mississauga (canada)","ca","disk"
"66749",2020-07-26,"mississauga (canada)","ca","disk"
"35022",2019-03-15,"mississippi (rural)","","disk"
"79763",2020-08-06,"missoula","us","disk"
"35410",2020-03-16,"moab","us","disk"
"41979",2020-04-19,"moberly","us","disk"
"82011",2020-09-12,"moca (dominican republic)","","disk"
"37458",2020-03-26,"modesto","us","disk"
"41073",2019-04-15,"modesto","us","disk"
"80198",2019-08-08,"modesto","us","disk"
"54315",2019-06-15,"moe (victoria) (australia)","au","disk"
"24541",2020-12-03,"mojave","us","disk"
"57522",2019-06-25,"mojave desert","","disk"
"82731",2019-09-15,"mojave desert (remote area of)","","disk"
"60304",2020-06-07,"mojave national preserve","","disk"
"83492",2019-09-17,"mokena","us","disk"
"28767",2019-02-01,"molalla","us","disk"
